Canterbury Christ Church University,,Keith Saunders,pgadmissions@canterbury.ac.uk,01227 925555,,,,,,,South East,,,,,,+441227925555,South East,
Chepping View Primary Academy SCITT (Inspiring Futures Partnership Trust),https://www.cheppingviewscitt.com/Assessment-Only-Route-to-QTS/,Hayley Rouse,scitt@cvpa.school,01494 535564 ,,,,Greater London,,,South East,,,,,,+441494535564,Greater London; South East,
Chiltern Training Group,https://www.ctg.ac.uk,Claire Justin,admin@ctg.ac.uk,01582493680,,,,,,,,,,,National,,+441582493680,National,
Colchester Teacher Training Consortium ,https://colchesterttc.org.uk/training-routes/assessment-only-route,Christine Wager,cwager@colchesterttc.org.uk,01206364728,,,,,,,,,,,National,Outside of the UK,+441206364728,National; Outside of the UK,
Cornwall SCITT,https://www.cornwallscitt.org,Lianne Knibb,liannek@truro-penwith.ac.uk,01872 305728,,,,,,,,South West,,,,,+441872305728,South West,
"Coventry University, National Institute of Teaching and Education ",https://www.coventry.ac.uk/nite/teacher-training/assessment-only-qts/,Louise Jakes,louise.jakes@coventry.ac.uk ,02477 650660,,,,,,,,,,,National,Yes,+442477650660,National; Outside of the UK,
Educate Group Initial Teacher Training,https://educate-group.co.uk/assessment-only-route/,Claire King,aor@educate-group.co.uk,01978 281881,,,,,,,,,,,National,Outside of the UK,+441978281881,National; Outside of the UK,
Essex and Thames SCITT,https://etpscitt.co.uk/assessment-only-essex-southend-thurrock/,Sarah Sloper; Emma Day ,assessmentonly@ete.org.uk,01268 988580,,East of England,,,,,,,,,,,+441268988580,East of England,
Exchange Teacher Training,https://www.exchangeteachertraining.com/,Samantha Rhodes,info@exchangeteachertraining.com,0345 145 0075 ,option 1,,,,North East,,,,,Yorkshire and the Humber,,,+443451450075,North East; Yorkshire and the Humber,
Future Teacher Training ,https://www.futureteachertraining.org,Fran Wood,enquiries@scitt.futureacademies.org,07442 243 525,,,,Greater London,,,,,,,,,+447442243525,Greater London,
Gloucestershire Initial Teacher Education Partnership,https://2schools.org/assessment-only-route/,Rebecca Rose,admin@gitep.org.uk ,01242 505945,,,,,,,,South West,,,,,+441242505945,South West,
GORSE SCITT,https://gorsescitt.org.uk/assessment-only-qts/,Nicci Cornfoot,assessmentonly@gorsescitt.org.uk,0113 487 1777,,,,,,,,,,Yorkshire and the Humber,,,+441134871777,Yorkshire and the Humber,
Haybridge SCITT,https://www.teachwithhaybridge.co.uk/our-programmes/assessment-only/assessment-only-route/,Tracey Forward,tforward@haybridge.worcs.sch.uk,01562 886213,,,,,,,,,West Midland,,,,+441562886213,West Midland,
i2i Teaching Partnership SCITT,https://www.i2ipartnership.co.uk/,Krissy Taylor,ktaylor@i2ipartnership.co.uk,01252 900550,,,,,,,South East,,,,,,+441252900550,South East,
Inspiring Future Teachers,https://www.inspiringfutureteachers.org,Lyndsay Cameron,lyndsay.cameron@inspiringft.org,,,,,,,,South East,,,,,,,South East,
Inspiring Leaders,https://inspiringleadersscitt.com/aor/,Dirk Smith,info@iltoday.co.uk,0115 9891915,,,East Midlands,,,,,,,,,,+441159891915,East Midlands,
Keele and North Staffordshire Teacher Education,https://www.knste.set.org/assessment-only-route/about-the-programme-entry-criteria,KNSTE,knste.ao@knste.set.org,01782 948280,,,,,,,,,,,National,,+441782948280,National,
Kent & Medway Training (MT),https://www.kmtraining.org.uk/assessment-only-route-to-qualified-teacher-status/,Polly Butterfield-Tracey,polly.butterfield-tracey@KMTraining.org.uk,07729 611148,,,,,,,South East,,,,,,+447729611148,South East,
Kingston University,https://www.kingston.ac.uk/postgraduate-course/assessment-only-route-leading-to-qualified-teacher-status/,Marcus Bhargava,aoenquiries@kingston.ac.uk,020 8417 4766,,,,Greater London,,,,,,,,,+442084174766,Greater London,
Leeds Trinity University,https://www.leedstrinity.ac.uk/courses/cpd-and-short-courses/assessment-only/,LTU admissions team,ITTadmissions@leedstrinity.ac.uk ,01132837123,,,,,,,,,,Yorkshire and the Humber,,,+441132837123,Yorkshire and the Humber,
Leicester and Leicestershire SCITT,https://www.leicestershiresecondaryscitt.org/,Clare Hearn-Palmer,admin@leicesterscitt.co.uk,0116 254 3187,,,East Midlands,,,,,,,,,,+441162543187,East Midlands,
Lincoln Bishop University,https://www.lincolnbishop.ac.uk/courses/assessment-only-route-to-qts-primary-and-secondary,Chris Davison,christopher.davison@bishopg.ac.uk,07961 078589,,,East Midlands,,,,,,,,,,+447961078589,East Midlands,
Lincolnshire SCITT,https://www.lincolnshirescitt.co.uk/aor,Ellie Hextall ,ehextall@prioryacademies.co.uk,01522 889297,,,East Midlands,,,,,,,,,,+441522889297,East Midlands,
London Metropolitan University,https://www.londonmet.ac.uk/courses/postgraduate/assessment-only-ao-route-to-qualified-teacher-status---qts---qts/,Robert Fonseca,AssessmentQTS@londonmet.ac.uk,0207 133 2647,,,,Greater London,,,,,,,,,+442071332647,Greater London,
London School of Jewish Studies,https://www.lsjs.ac.uk/assessment-only,Galia Segal,galia.segal@lsjs.ac.uk,,,East of England,,Greater London,,North West,South East,,,,,Outside of the UK,,East of England; Greater London; North West; South East; Outside of the UK,
Mersey Boroughs ITT Partnership,https://merseyitt.org.uk/courses/assessment-only/,,merseyboroughsitt@knowsley.gov.uk,0151 443 2663,,,,,,North West,,,,,,,+441514432663,North West,
Mid Essex Initial Teacher Training,https://www.midessexteachertraining.com/courses/assessment-only,Steve Fox,admin@midessexteachertraining.com,01376556398,,East of England,,,,,,,,,,,+441376556398,East of England,
Mid Somerset Consortium,https://mscitt.org.uk/,Jo Lock Smith,office@mscitt.org.uk,01458449418,,,,,,,,South West,,,,,+441458449418,South West,
Norfolk Teacher Training Centre,https://www.norfolkttc.org.uk/how-to-apply/assessment-only/,Lin Goram,lin.goram@ccn.ac.uk,01603 773708,,East of England,,,,,,,,,,,+441603773708,East of England,
"Norfolk, Essex and Suffolk Teacher Training (NESTT)",https://nestt.org.uk/assessment-only/,Colin Turner,colin.turner@nestt.org.uk,07568 069095,,East of England,,,,,,,,,,,+447568069095,East of England,
North Lincolnshire SCITT Partnership,https://www.northlincs.gov.uk/traintoteach,Vicky Crossley,vicky.crossley@northlincs.gov.uk,01724 297119,,,,,,,,,,Yorkshire and the Humber,,,+441724297119,Yorkshire and the Humber,
Nottingham Trent University,https://www.ntu.ac.uk/course/education/pr/assessment-only-route-to-qts-secondary,Jamie Tinney,AssessmentOnly@ntu.ac.uk,0115 848 2666,,,,,,,,,,,National,,+441158482666,National,
One Cumbria SCITT,https://onecumbria.education/initial-teacher-training/,Tina Beddoe,beddoet@onecumbria.education,07739901777,,,,,,North West,,,,,,,+447739901777,North West,
Prestolee SCITT,https://www.prestoleescitt.org.uk/assessment-only-qts,Lynsey Smith,training@prestoleescitt.org.uk,0161 843 6362,,,,,,North West,,,,,,,+441618436362,North West,
Red Kite Teacher Training,https://www.redkiteteachertraining.co.uk/our-programmes/assessment-only/,Diana Frost,teachertraining@rklt.co.uk,01423 535646,,,,,,,,,,Yorkshire and the Humber,,,+441423535646,Yorkshire and the Humber,
Ripley ITT,https://www.ripleyitt.co.uk/our-programmes/assessment-only/,Felicity Ackroyd,ITT@ripley.lancs.sch.uk,01524 64496,,,,,,North West,,,,,,,+44152464496,North West,
Somerset SCITT,https://www.sciltraining.co.uk/assessment-only-route-to-qualified-teacher-status-qts/,Nikki Blake; Claudine Leoni,SCIL@somerset.gov.uk,0300 1231967,,,,,,,,South West,,,,,+443001231967,South West,
South Farnham SCITT,https://www.ssfscitt.org.uk/page/?title=Assessment+Only+Route&pid=42,Rebecca Vaughan-Barrett ,scitt@sfet.org.uk,01252717408,,,,,,,South East,,,,,,+441252717408,South East,
St Edmunds Nursery and Children Centre (Bradford Birth to 19 SCITT),https://www.bradfordbirthto19scitt.co.uk/home,Ben McGregor,ben.mcgregor@bradfordbirthto19.org,01274 494898,,,,,,,,,,Yorkshire and the Humber,,,+441274494898,Yorkshire and the Humber,
St Mary's University,https://www.stmarys.ac.uk/teacher-training/assessment-only-qts/overview.aspx,Lizzy Jackson,elizabeth.jackson@stmarys.ac.uk,020 8240 4326,,,,,,,,,,,National,Outside of the UK,+442082404326,National; Outside of the UK,
Staffordshire University,https://www.staffs.ac.uk/course/assessment-only-leading-to-qts,Mark Barlow,mark.barlow@staffs.ac.uk,01782 294548,,,,,,,,,West Midlands,,,,+441782294548,West Midlands,
Stockton SCITT,https://stocktonscitt.uk/assessment-only-route-to-qts/,Kirsten Webber,scitt@stockton.gov.uk,01642 527675,,,East Midlands,,North East,North West,,,,Yorkshire and the Humber,,,+441642527675,East Midlands; North East; North West; Yorkshire and the Humber,
Sutton SCITT,https://www.suttonscitt.org.uk/teacher-training-programmes-surrey/assessment-only,Rachel Fagan,rfa@glenthorne.sutton.sch.uk,020 8410 0006,,,,Greater London,,,South East,,,,,,+442084100006,Greater London; South East,
Teaching London: LDBS SCITT,https://www.teachinglondon.org/ourcourses/assessment-only-route-to-qts-2/,Saskia Rossi,admin@teachinglondon.org,02079321126,,,,Greater London,,,,,,,,,+442079321126,Greater London,
Ted Wragg Teacher Training Partnership,https://www.tedwraggtrust.co.uk/page/?title=Train+to+Teach&pid=25,Carrie McMillan,carrie.mcmillan@tedwraggtrust.co.uk,01392 686165,,,,,,,,South West,,,,,+441392686165,South West,
Tes Institute,https://www.tes.com/institute,Andrew Locke,andrew.locke@tes.com,02031943200,,,,,,,,,,,National,Outside of the UK,+442031943200,National; Outside of the UK,
The Buckingham Partnership SCITT,https://www.bpscitt.uk/page/?title=Assessment+Only+Route&pid=16,Olivia Lewis,olewis@royallatin.org,01280 827316,,,,,,,,,,,National,Outside of the UK,+441280827316,National; Outside of the UK,
The Cambridge Partnership - Meridian Trust ITT,https://campartnership.org/assessment-only/,Beverley Collier,BCollier@pilgrimpartnership.org,01234 907895,,East of England,,,,,,,,,,,+441234907895,East of England,
The Grand Union Training Partnership,https://www.gutp.co.uk,Kate Martin,gutprecruitment@sponne.org.uk,01327 350284 ,ext 253,East of England,East Midlands,,,,South East,,,,,,+441327350284,East of England; East Midlands; South East,
The John Taylor SCITT,https://jtscitt.co.uk/,Michael Simmons,m.simmons@jths.co.uk,01283 247 850,,,,,,,,,West Midlands,,,,+441283247850,West Midlands,
The Kemnal Academies Trust (TKAT),https://scitt.tkat.org,Steve Excell,scitt@tkat.org,020 3740 1808 ,(option 1),,,Greater London,,,South East,,,,,,+442037401808,Greater London; South East,
The Sheffield SCITT,https://www.sheffieldscitt.org.uk/,,admin@sheffieldscitt.org.uk,,,,,,,,,,,Yorkshire and the Humber,,,,Yorkshire and the Humber,
The University of Buckingham,https://www.buckingham.ac.uk/courses/postgraduate/assessment-only-ao-route-to-qualified-teacher-status-primary-and-secondary,Shonali Mathur,shonali.mathur@buckingham.ac.uk,07538 473145,,,,,,,,,,,National,Outside of the UK,+447538473145,National; Outside of the UK,
Tommy Flowers SCITT,https://tommyflowersscitt.co.uk/,Tom Molloy,TFSCITT@st-pauls.org.uk,01908 669735 ,,,,,,,,,,,National,,+441908669735,National,
United Teaching National SCITT,https://www.unitedteaching.org.uk/,Vicki Cleaves,vicki.cleaves@paddington-academy.org,020 7479 3900,,,,Greater London,,,,,,,,,+442074793900,Greater London,
University of Chester,https://www.chester.ac.uk/about/faculties/arts-humanities-and-social-sciences/chester-school-of-education/qualified-teacher-status-qts-assessment-only-route/,Michael Bird,m.bird@chester.ac.uk,01244 512142,,,,,,North West,,,,,,,+441244512142,North West,
University of Chichester,https://www.chi.ac.uk/teaching/course/assessment-only-route/,"Dr Tim Brinded (Programme Lead), Daniel Newton (Administrator)",AO@chi.ac.uk,01243 812077,,,,,,,South East,,,,,,+441243812077,South East,
University of Derby,https://www.derby.ac.uk/,Jayne Leggott,askadmissions@derby.ac.uk,,,,East Midlands,,,,,,,,,Outside of the UK,,East Midlands; Outside of the UK,
University of East London,https://www.uel.ac.uk/,Bryce Wilby,b.wilby@uel.ac.uk,020 8223 6372,,,,Greater London,,,,,,,,,+442082236372,Greater London,
University of Hertfordshire,https://www.herts.ac.uk/study/how-to-apply/assessment-only-route,Fran Copeman,aoenquiries@herts.ac.uk,,,East of England,,,,,,,,,,,,East of England,
University of Portsmouth,https://www.port.ac.uk,Andrew Porter,andrew.porter@port.ac.uk,02392 845384,,,,,,,South East,,,,,,+442392845384,South East,
University of Reading,https://www.reading.ac.uk/education/pgce-qts-and-eyts/assessment-only,Harvey Grout,h.grout@reading.ac.uk,0118 378 7237,,,,,,,South East,South West,,,,,+441183787237,South East; South West,
University of Roehampton,https://www.roehampton.ac.uk/study/short-courses-and-professional-development/qualified-teacher-status-qts-assessment/,Matthew Sossick,AO@roehampton.ac.uk,,,,,Greater London,,,,,,,,,,Greater London,
University of Sunderland,https://www.sunderland.ac.uk/study/short-courses-cpd/assessment-only-route-qts/,Ian Elliott,ian.elliott@sunderland.ac.uk,0191 515 2159,,,,,North East,,,,,,,Outside of the UK,+441915152159,North East; Outside of the UK,
University of Warwick,https://warwick.ac.uk/fac/soc/cte/professionaldevelopment/ao/,Vikki Armeson,assessmentonlyQTS@warwick.ac.uk,02476 150269,,,,,,,,,,,National,Outside of the UK,+442476150269,National; Outside of the UK,
University of Winchester,https://www.winchester.ac.uk/study/Short-courses/Courses/Assessment-Only-Route-to-Qualified-Teacher-Status/,Keith Smith,AO@winchester.ac.uk,01962827376,,,,,,,South East,South West,,,,,+441962827376,South East; South West,
University of Wolverhampton,https://www.wlv.ac.uk/schools-and-institutes/faculty-of-education-health-and-wellbeing/department-of-education/teacher-training/employment-based-routes/assessment-only-qts-programme/,Susan Giacoletto,s.giacoletto@wlv.ac.uk,07813 976274 ,(Diana Bannister),,,,,,,,West Midlands,,,,+447813976274,West Midlands,
University of Worcester,https://www.worcester.ac.uk/courses/assessment-only-route ,Assessment Only Course Enquiries,aor@worc.ac.uk,01905 855111,,,,,,,,,,,National,,+441905855111,National,
University of York,https://www.york.ac.uk/education/pgce/,Georgia Ramsay ,georgia.ramsay@york.ac.uk,01904 326401,,,,,North East,,,,,Yorkshire and the Humber,,,+441904326401,North East; Yorkshire and the Humber,
Wandsworth Primary Schools' Consortium,https://www.scitt.co.uk/our-courses/assessment-only-route/,Sam Steward,ssteward@scitt.wandsworth.sch.uk,020 3488 2805,,,,Greater London,,,,,,,,,+442034882805,Greater London,
West Midlands Consortium,https://wmc.ttsonline.net/page/assessment-only.aspx,Su Plant,ssplant@ttsonline.net,01952 200000,,,,,,,,,West Midlands,,,,+441952200000,West Midlands,
Xavier Teach SouthEast,https://www.teachsoutheast.co.uk,Alison Maingard,a.maingard@xaviercet.org.uk,01932 578 682,,,,,,,South East,,,,,,+441932578682,South East,
Yorkshire Wolds Teacher Training,https://ywtt.org.uk/,Alison Fletcher,alison.fletcher@theeducationalliance.org.uk,01482 636727,,,,,,,,,,Yorkshire and the Humber,,,+441482636727,Yorkshire and the Humber,
